folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,113.817,20120924003102719@DVR-1_Ch2.mpg,113.395,20120924003102032@DVR-1_Ch3.mpg,114.082,20120924003256114,F,24/09/2012,00:32:56.114,Anode.Start,,ANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,119.297,20120924003102719@DVR-1_Ch2.mpg,118.875,20120924003102032@DVR-1_Ch3.mpg,119.562,20120924003301594,F,24/09/2012,00:33:01,Anode,144.192,AN,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,119.777,20120924003102719@DVR-1_Ch2.mpg,119.355,20120924003102032@DVR-1_Ch3.mpg,120.042,20120924003302074,F,24/09/2012,00:33:02.074,Anode.End,,ANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,175.313,20120924003102719@DVR-1_Ch2.mpg,174.891,20120924003102032@DVR-1_Ch3.mpg,175.578,20120924003357610,F,24/09/2012,00:33:57,Field Joint,144.212,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,196.005,20120924003102719@DVR-1_Ch2.mpg,195.583,20120924003102032@DVR-1_Ch3.mpg,196.27,20120924003418302,F,24/09/2012,00:34:18.302,Field Joint.Start,-,FJS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,200.045,20120924003102719@DVR-1_Ch2.mpg,199.623,20120924003102032@DVR-1_Ch3.mpg,200.31,20120924003422342,F,24/09/2012,00:34:22.342,Field Joint.End,-,FJE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,201.045,20120924003102719@DVR-1_Ch2.mpg,200.623,20120924003102032@DVR-1_Ch3.mpg,201.31,20120924003423342,F,24/09/2012,00:34:23,Field Joint,144.224,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,224.813,20120924003102719@DVR-1_Ch2.mpg,224.391,20120924003102032@DVR-1_Ch3.mpg,225.078,20120924003447110,F,24/09/2012,00:34:47.110,Field Joint.Start,-,FJS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,228.893,20120924003102719@DVR-1_Ch2.mpg,228.471,20120924003102032@DVR-1_Ch3.mpg,229.158,20120924003451190,F,24/09/2012,00:34:51.190,Field Joint.End,-,FJE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20120924003102032,20120924003102297@DVR-1_Ch1.mpg,230.813,20120924003102719@DVR-1_Ch2.mpg,230.391,20120924003102032@DVR-1_Ch3.mpg,231.078,20120924003453110,F,24/09/2012,00:34:53,Field Joint,144.237,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
