folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20120926215627047,20120926215628797@DVR-1_Ch1.mpg,2.047,20120926215628922@DVR-1_Ch2.mpg,1.922,20120926215627047@DVR-1_Ch3.mpg,3.797,20120926215630844,F,26/09/2012,21:56:30,Field Joint,171.29,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120926215627047,20120926215628797@DVR-1_Ch1.mpg,32.281,20120926215628922@DVR-1_Ch2.mpg,32.156,20120926215627047@DVR-1_Ch3.mpg,34.031,20120926215701078,F,26/09/2012,21:57:01,Field Joint,171.27700000000002,FJ,-,-,Field joint intact. Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120926215627047,20120926215628797@DVR-1_Ch1.mpg,60.873,20120926215628922@DVR-1_Ch2.mpg,60.748,20120926215627047@DVR-1_Ch3.mpg,62.623,20120926215729670,F,26/09/2012,21:57:29,Field Joint,171.266,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120926215627047,20120926215628797@DVR-1_Ch1.mpg,125.234,20120926215628922@DVR-1_Ch2.mpg,125.109,20120926215627047@DVR-1_Ch3.mpg,126.984,20120926215834031,F,26/09/2012,21:58:34,Field Joint,171.24099999999999,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,132.375,20120927015214843@DVR-1_Ch2.mpg,131.328,20120927015215906@DVR-1_Ch3.mpg,130.265,20120927015426171,F,27/09/2012,01:54:26,Field Joint,170.282,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,173.969,20120927015214843@DVR-1_Ch2.mpg,172.922,20120927015215906@DVR-1_Ch3.mpg,171.859,20120927015507765,F,27/09/2012,01:55:07,Field Joint,170.267,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,207.25,20120927015214843@DVR-1_Ch2.mpg,206.203,20120927015215906@DVR-1_Ch3.mpg,205.14,20120927015541046,F,27/09/2012,01:55:41,Field Joint,170.25599999999997,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,241.666,20120927015214843@DVR-1_Ch2.mpg,240.619,20120927015215906@DVR-1_Ch3.mpg,239.556,20120927015615462,F,27/09/2012,01:56:15,Field Joint,170.24400000000003,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,277.641,20120927015214843@DVR-1_Ch2.mpg,276.594,20120927015215906@DVR-1_Ch3.mpg,275.531,20120927015651437,F,27/09/2012,01:56:51,Field Joint,170.231,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,309.22,20120927015214843@DVR-1_Ch2.mpg,308.173,20120927015215906@DVR-1_Ch3.mpg,307.11,20120927015723016,F,27/09/2012,01:57:23,Field Joint,170.22,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,338.016,20120927015214843@DVR-1_Ch2.mpg,336.969,20120927015215906@DVR-1_Ch3.mpg,335.906,20120927015751812,F,27/09/2012,01:57:51,Field Joint,170.208,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,371.076,20120927015214843@DVR-1_Ch2.mpg,370.029,20120927015215906@DVR-1_Ch3.mpg,368.966,20120927015824872,F,27/09/2012,01:58:24,Field Joint Damage,170.196,FJD,-,-,-Field joint intact. Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,403.298,20120927015214843@DVR-1_Ch2.mpg,402.251,20120927015215906@DVR-1_Ch3.mpg,401.188,20120927015857094,F,27/09/2012,01:58:57,Field Joint,170.18400000000003,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,435.735,20120927015214843@DVR-1_Ch2.mpg,434.688,20120927015215906@DVR-1_Ch3.mpg,433.625,20120927015929531,F,27/09/2012,01:59:29,Field Joint,170.172,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,469.891,20120927015214843@DVR-1_Ch2.mpg,468.844,20120927015215906@DVR-1_Ch3.mpg,467.781,20120927020003687,F,27/09/2012,02:00:03,Field Joint,170.15900000000002,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,504.141,20120927015214843@DVR-1_Ch2.mpg,503.094,20120927015215906@DVR-1_Ch3.mpg,502.031,20120927020037937,F,27/09/2012,02:00:37,Field Joint,170.14700000000002,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,535.0,20120927015214843@DVR-1_Ch2.mpg,533.953,20120927015215906@DVR-1_Ch3.mpg,532.89,20120927020108796,F,27/09/2012,02:01:08,Field Joint,170.136,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120927015213796,20120927015213796@DVR-1_Ch1.mpg,571.953,20120927015214843@DVR-1_Ch2.mpg,570.906,20120927015215906@DVR-1_Ch3.mpg,569.843,20120927020145749,F,27/09/2012,02:01:45,Field Joint,170.122,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
