folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,139.349,20120923052200469@DVR-1_Ch2.mpg,138.802,20120923052159672@DVR-1_Ch3.mpg,139.599,20120923052419271,F,23/09/2012,05:24:19,Field Joint,125.899,FJ,-,-,Field Joint intact  Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,180.589,20120923052200469@DVR-1_Ch2.mpg,180.042,20120923052159672@DVR-1_Ch3.mpg,180.839,20120923052500511,F,23/09/2012,05:25:00,Field Joint,125.915,FJ,-,-,Field Joint intact  Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,215.668,20120923052200469@DVR-1_Ch2.mpg,215.121,20120923052159672@DVR-1_Ch3.mpg,215.918,20120923052535590,F,23/09/2012,05:25:35,Exposure End,125.925,EXE,-,-,End of Pipeline Exposure,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,265.627,20120923052200469@DVR-1_Ch2.mpg,265.08,20120923052159672@DVR-1_Ch3.mpg,265.877,20120923052625549,F,23/09/2012,05:26:25,Exposure Start,125.941,EXS,IC2-KP 125.946,-,Start of Intermittent Exposure of Pipeline,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,327.587,20120923052200469@DVR-1_Ch2.mpg,327.04,20120923052159672@DVR-1_Ch3.mpg,327.837,20120923052727509,F,23/09/2012,05:27:27,Field Joint,125.958,FJ,-,-,Field Joint intact  Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,370.865,20120923052200469@DVR-1_Ch2.mpg,370.318,20120923052159672@DVR-1_Ch3.mpg,371.115,20120923052810787,F,23/09/2012,05:28:10,Field Joint,125.971,FJ,-,-,Field Joint intact  Wrap missing from joint  No other damage observed,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,391.629,20120923052200469@DVR-1_Ch2.mpg,391.082,20120923052159672@DVR-1_Ch3.mpg,391.879,20120923052831551,F,23/09/2012,05:28:31,Exposure End,125.979,EXE,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,403.879,20120923052200469@DVR-1_Ch2.mpg,403.332,20120923052159672@DVR-1_Ch3.mpg,404.129,20120923052843801,F,23/09/2012,05:28:43,Exposure Start,125.98299999999999,EXS,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,415.73,20120923052200469@DVR-1_Ch2.mpg,415.183,20120923052159672@DVR-1_Ch3.mpg,415.98,20120923052855652,F,23/09/2012,05:28:55,Exposure End,125.986,EXE,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,554.633,20120923052200469@DVR-1_Ch2.mpg,554.086,20120923052159672@DVR-1_Ch3.mpg,554.883,20120923053114555,F,23/09/2012,05:31:14,Exposure Start,126.029,EXS,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,578.383,20120923052200469@DVR-1_Ch2.mpg,577.836,20120923052159672@DVR-1_Ch3.mpg,578.633,20120923053138305,F,23/09/2012,05:31:38,Exposure End,126.035,EXE,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,691.885,20120923052200469@DVR-1_Ch2.mpg,691.338,20120923052159672@DVR-1_Ch3.mpg,692.135,20120923053331807,F,23/09/2012,05:33:31,Exposure Start,126.071,EXS,,,,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20120923052159672,20120923052159922@DVR-1_Ch1.mpg,740.478,20120923052200469@DVR-1_Ch2.mpg,739.931,20120923052159672@DVR-1_Ch3.mpg,740.728,20120923053420400,F,23/09/2012,05:34:20,Field Joint,126.083,FJ,-,-,Field Joint intact  Bitumen Mastic/Polyurethane Foam Insulation filling partially missing  At 11 o clock position  No other damage observed,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
