folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,20.208,20121004040929937@DVR-1_Ch2.mpg,19.662,20121004040927984@DVR-1_Ch3.mpg,21.615,20121004040949599,F,04/10/2012,04:09:49,Field Joint,71.081,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,56.593,20121004040929937@DVR-1_Ch2.mpg,56.047,20121004040927984@DVR-1_Ch3.mpg,58.0,20121004041025984,F,04/10/2012,04:10:25,Field Joint,71.093,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,94.764,20121004040929937@DVR-1_Ch2.mpg,94.218,20121004040927984@DVR-1_Ch3.mpg,96.171,20121004041104155,F,04/10/2012,04:11:04,Field Joint,71.10600000000001,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,114.687,20121004040929937@DVR-1_Ch2.mpg,114.141,20121004040927984@DVR-1_Ch3.mpg,116.094,20121004041124078,F,04/10/2012,04:11:24,Anode,71.112,AN,-,-,-Anode in Good condition,Bracelet,Active,0,Light,Light,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,133.453,20121004040929937@DVR-1_Ch2.mpg,132.907,20121004040927984@DVR-1_Ch3.mpg,134.86,20121004041142844,F,04/10/2012,04:11:42,Field Joint,71.117,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,172.201,20121004040929937@DVR-1_Ch2.mpg,171.655,20121004040927984@DVR-1_Ch3.mpg,173.608,20121004041221592,F,04/10/2012,04:12:21,Field Joint,71.131,FJ,-,-,Field joint intact. Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,209.264,20121004040929937@DVR-1_Ch2.mpg,208.718,20121004040927984@DVR-1_Ch3.mpg,210.671,20121004041258655,F,04/10/2012,04:12:58,Field Joint,71.143,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,247.452,20121004040929937@DVR-1_Ch2.mpg,246.906,20121004040927984@DVR-1_Ch3.mpg,248.859,20121004041336843,F,04/10/2012,04:13:36,Field Joint,71.156,FJ,-,-,-Field joint intact. Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,285.734,20121004040929937@DVR-1_Ch2.mpg,285.188,20121004040927984@DVR-1_Ch3.mpg,287.141,20121004041415125,F,04/10/2012,04:14:15,Field Joint,71.168,FJ,-,-,Field joint intact. Wrap beginning to loosen,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121004040927984,20121004040929391@DVR-1_Ch1.mpg,325.046,20121004040929937@DVR-1_Ch2.mpg,324.5,20121004040927984@DVR-1_Ch3.mpg,326.453,20121004041454437,F,04/10/2012,04:14:54,Field Joint,71.18,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
